Vendor,Document,Waybill,Shop Address,Amount,Date,Status
Tennant Creek,AU-NT,US-TX,66233 Bellgrove Road,1236,8/5/2022,650
Nambucca Heads,AU-NSW,CO-COR,527 Pierstorff Trail,,9/16/2022,160
Bingöl,TR-12,ML-3,07 Beilfuss Parkway,3506,8/30/2022,1378
Ilebo,CD-KW,BR-MT,216 La Follette Way,1450,11/18/2022,1083
Vasco da Gama,IN-GA,RU-PRI,463 David Lane,150,10/7/2022,46
Masalembo Island,ID-JI,AU-WA,470 Fuller Point,30,8/17/2022,385
Ladysmith,ZA-NL,CD-BC,9833 Carberry Junction,3548,6/18/2022,26
,IN-RJ,GT-PE,57 6th Point,751,3/25/2023,753
Calgary,CA-AB,MW-MG,674 Kedzie Crossing,3557,8/27/2022,1580
Campo Grande,BR-MS,MN-043,74493 Mitchell Plaza,1833,2/12/2023,4898
Matadi,CD-BC,MX-JAL,3 Prairieview Junction,1115,8/11/2022,23
Delta,US-UT,ES-CE,63199 Autumn Leaf Street,4759,1/20/2023,8
,PF-U-A,ZA-GT,77 Charing Cross Parkway,12,5/21/2022,5558
,AU-QLD,NP-BA,68791 Morning Alley,,6/10/2022,4390
Bromont,CA-QC,MX-YUC,630 Tennessee Street,375,12/20/2022,56
Tokoname,JP-23,US-MD,8 Burning Wood Terrace,15,2/27/2023,20
Medford,US-WI,KI-G,8 Gale Circle,1478,4/9/2023,8
Montague,US-CA,KG-O,88645 Surrey Junction,2527,1/1/2023,2927
Qaisumah,SA-04,US-UT,77195 Tennessee Parkway,1174,2/24/2023,4985
Patos De Minas,BR-MG,US-CA,71 Rieder Pass,2793,10/4/2022,6752
Gore Bay,CA-ON,BO-S,16 Saint Paul Hill,635,12/14/2022,1371
Cooper Landing,US-AK,DK-81,82659 Burning Wood Terrace,450,12/8/2022,23
Minna,NG-NI,CA-QC,06195 Delladonna Circle,834,9/26/2022,550
El Maiten,AR-U,PF-U-A,4 Jana Plaza,2355,12/10/2022,160
Mal Island,PG-ESW,UZ-AN,2967 Gale Park,6,8/11/2022,1515
Wiseman,US-AK,LT-SA,70506 Duke Parkway,1180,5/30/2022,443
New York,US-NY,NP-SA,401 Waubesa Lane,7,3/5/2023,7918
Almenara,BR-MG,SD-06,87340 Morning Avenue,640,11/30/2022,1560
Tokua,PG-EBR,SA-03,88724 Milwaukee Court,32,10/11/2022,2151
Luleå,SE-BD,PK-SD,86418 Vera Lane,65,5/1/2022,219
Xingyi,CN-52,ID-NT,90 Sutherland Lane,4150,12/13/2022,957
Tangshan,CN-13,US-WI,557 Crescent Oaks Plaza,50,3/3/2023,808
Kunashir Island,RU-SAK,MG-D,557 Pearson Park,584,5/4/2022,20
Santo Domingo,DO-01,US-KY,1 Park Meadow Court,59,7/23/2022,775
Waca,ET-OR,UZ-NG,64453 Service Trail,4200,9/25/2022,1555
,AU-QLD,US-UT,13 Pleasure Way,676,12/19/2022,5022
Mungeranie,AU-SA,TL-LA,0 Grayhawk Lane,,8/25/2022,150
Cholet/Le Pontreau,FR-R,PG-WBK,8435 Sycamore Avenue,443,1/12/2023,33
Evanston,US-WY,US-WA,966 Fairfield Lane,7143,2/20/2023,606
Mumbai,IN-MM,CN-65,21984 Declaration Way,39,1/24/2023,
Orel,RU-ORL,JP-03,8 Comanche Circle,656,9/13/2022,297
Fort Worth,US-TX,US-TX,60 Rowland Terrace,722,9/21/2022,508
Varandey,RU-NEN,SR-CR,6573 Vernon Point,39,5/27/2022,10
Ciudad del Este,PY-10,KP-01,8192 Kings Plaza,846,7/7/2022,117
Magda,BR-SP,CN-61,7 Iowa Trail,1437,7/4/2022,
Cordoba,AR-X,AU-QLD,1533 Esch Center,1604,12/13/2022,58
Sumbawanga,TZ-20,VN-07,81 Lukken Pass,5960,12/10/2022,101
Orel,RU-ORL,CA-MB,3980 Talmadge Center,656,5/26/2022,951
Bapi,PG-MPL,GA-7,0 Buena Vista Alley,2930,5/18/2022,1585
Brownsville,US-TX,CO-PUT,4276 Golf Course Plaza,22,7/4/2022,1248
Espargos,CV-B,TH-63,12922 Dorton Circle,177,1/27/2023,690
Adrian,US-MI,CA-ON,874 Ridge Oak Circle,798,6/17/2022,628
Ono-i-Lau,FJ-E,CN-34,26920 Prairieview Center,110,10/25/2022,100
Livengood,US-AK,SD-26,9 Prairie Rose Hill,425,2/16/2023,135
,NZ-TAS,CN-15,6 Armistice Road,102,4/9/2023,2925
Puerto Plata,DO-18,CA-BC,14180 Kropf Trail,15,12/5/2022,396
Brazzaville,CG-12,SA-04,487 Rigney Park,1048,11/3/2022,72
Amalfi,CO-ANT,FR-B,0 Rockefeller Plaza,5507,5/21/2022,106
,PG-EPW,US-TN,08 Ronald Regan Point,3692,1/13/2023,341
Tilin,MM-03,DO-01,90302 Grim Pass,1385,7/14/2022,59
Garowe,SO-NU,CZ-KA,04 Sunnyside Avenue,1465,1/25/2023,1772
Las Vegas,US-NV,SB-MK,1 Katie Point,2492,4/10/2023,3
Des Moines,US-IA,UA-18,9376 American Ash Place,958,6/24/2022,
Gifu,JP-21,IN-WB,44767 Gale Crossing,128,2/3/2023,78
Qikiqtarjuaq,CA-NU,CA-SK,62369 Barby Alley,21,12/4/2022,1605
Valdivia,CL-LR,US-WY,01 Green Ridge Trail,59,4/1/2023,4964
,AU-NT,GB-ENG,187 Schurz Park,173,2/28/2023,33
Terrell,US-TX,AE-AZ,4 Pankratz Road,474,8/7/2022,25
Debrecen,HU-HB,CO-CUN,2 Morningstar Parkway,359,12/14/2022,566
Williamtown,AU-NSW,MG-A,55982 Heffernan Road,31,6/25/2022,16
,AU-WA,BR-RS,95768 Farmco Lane,29,9/28/2022,1063
Wilmington,US-DE,US-AK,18 Judy Plaza,80,10/11/2022,267
Puttaparthi,IN-AP,AU-WA,0 Nelson Court,1558,6/27/2022,
Alta,NO-20,BR-MG,527 Bluestem Point,9,8/21/2022,591
Taman Negara,MY-06,MR-04,434 Waubesa Center,10,3/21/2023,66
Fera Island,SB-IS,AU-QLD,68446 Drewry Terrace,,4/27/2022,285
,NZ-WTC,US-WA,097 Sutteridge Alley,13,9/15/2022,115
Kulgera,AU-NT,AR-B,794 Shelley Lane,,9/6/2022,42
Frankfurt am Main,DE-HE,LT-KL,7 Scott Hill,384,4/11/2023,59
Dumpu,PG-MPM,PH-ILN,0890 Longview Way,870,12/12/2022,25
Clintonville,US-WI,US-OR,87 Gulseth Plaza,822,1/2/2023,247
Novokuznetsk,RU-KEM,US-LA,85 Kensington Street,1024,7/14/2022,8
Willemstad,CW-U-A,ID-KU,5404 Springs Trail,29,8/13/2022,30
Tonu,PG-NSB,AE-AZ,7499 Warner Way,300,2/1/2023,88
Queenstown,ZA-EC,GR-71,26949 New Castle Drive,3637,6/12/2022,24
San Juan,PR-U-A,PG-CPM,21117 Washington Trail,9,12/6/2022,4500
Scribner,US-NE,US-AK,9470 Marquette Alley,1325,3/14/2023,1313
Waterville,US-ME,SO-BR,5 Hermina Street,333,11/21/2022,30
Miami,US-FL,PK-NA,24805 Dwight Drive,8,12/11/2022,7316
Yakataga,US-AK,US-NM,326 Eastwood Plaza,12,6/6/2022,3934
Puerto Rico/Manuripi,BO-N,ID-MA,2359 Clyde Gallagher Plaza,597,11/16/2022,33
Fayetteville,US-AR,CA-ON,1803 6th Street,1251,8/5/2022,869
Dunhuang,CN-62,DE-SH,49584 Eagle Crest Alley,,2/21/2023,51
Enegu,NG-EN,OM-SH,1429 Stuart Street,466,1/26/2023,64
Lausanne,CH-VD,LY-GT,4911 Westerfield Drive,2041,4/26/2022,2296
,AU-NT,AU-VIC,83116 Fair Oaks Hill,,1/13/2023,807
Khoy,IR-02,US-AK,89391 Corben Point,3981,4/3/2023,15
Porterville,US-CA,MY-03,55 Dottie Drive,442,12/27/2022,16
Piura,PE-PIU,US-IA,4469 Donald Lane,120,5/16/2022,1077
Montenegro,BR-RS,PG-CPM,9 Canary Avenue,125,7/3/2022,6690
Huntingburg,US-IN,AU-QLD,5 Bartelt Drive,529,8/14/2022,1509
Scranton,US-PA,US-WA,4 Granby Point,1151,2/23/2023,32
Greeley,US-CO,DZ-33,26 Cody Hill,4697,8/23/2022,3176
Governor's Harbour,BS-GH,DE-TH,152 Brentwood Trail,26,6/20/2022,1036
New York,US-NY,US-NY,6 Hooker Point,21,6/10/2022,662
Bokoro,TD-CB,CL-LL,7031 Farragut Road,984,5/29/2022,13
Ulanqab,CN-15,MX-BCN,429 Old Shore Circle,,9/2/2022,74
,CA-NU,PG-MBA,3407 Logan Street,5,10/19/2022,117
Coatesville,US-PA,US-TX,0283 Annamark Hill,660,12/21/2022,470
,AU-SA,NG-AD,994 Sugar Court,52,8/3/2022,599
Bonaventure,CA-QC,BZ-SC,7533 Valley Edge Center,123,3/30/2023,216
Mananara Nord,MG-A,PG-EHG,1985 Chive Crossing,9,5/7/2022,3600
Manteo,US-NC,US-IA,2 Melrose Lane,13,9/30/2022,730
Lichinga,MZ-A,BR-BA,85211 6th Drive,4505,12/30/2022,15
Garuahi,PG-MBA,KZ-VOS,12265 Morrow Circle,50,9/19/2022,
Siirt,TR-56,CN-54,8 Waxwing Court,2001,4/3/2023,11713
Taba,EG-SIN,ZA-NL,26 Grasskamp Court,2415,11/24/2022,249
Marshall,US-MN,US-MT,99 Ohio Alley,1183,6/16/2022,1986
Kulik Lake,US-AK,US-AZ,2 Corscot Hill,717,5/28/2022,5262
Portimão,PT-08,YE-MA,97257 Delladonna Way,5,2/4/2023,3300
Santiago de Compostela,ES-GA,BD-5,24705 Pine View Center,1213,5/14/2022,125
Taipei,TW-TAO,PK-NA,1419 Kinsman Lane,106,7/27/2022,4146
Yan'an,CN-61,US-IN,5 Jenifer Trail,3100,8/7/2022,591
Stephenville,CA-NL,NO-12,19675 Crowley Drive,84,4/27/2022,160
Sármellék,HU-ZA,US-NJ,7 Mallard Way,408,5/26/2022,95
Jizan,SA-09,IT-75,174 Gerald Lane,20,8/18/2022,177
Ambler,US-AK,MX-GUA,1 Carpenter Pass,334,5/18/2022,5956
Kangaroo Island,AU-SA,CN-35,5105 Ridgeview Street,545,11/7/2022,830
Tartagal,AR-A,CF-AC,95 Farragut Hill,1472,11/11/2022,1378
Rodez/Marcillac,FR-N,SE-BD,2163 School Street,1910,11/3/2022,1245
Miramichi,CA-NB,CA-AB,858 Kenwood Trail,108,10/10/2022,3300
Hemet,US-CA,CA-NT,127 Farwell Crossing,1512,1/26/2023,1413
Yotvata,IL-D,TD-GR,52065 Farwell Road,249,10/7/2022,1293
El Calafate,AR-Z,US-MN,8509 Redwing Court,732,12/23/2022,1232
Isla del Rey,PA-8,AF-KDZ,810 Manitowish Road,70,3/14/2023,1457
,IN-MP,CA-NT,67 Donald Pass,1060,8/1/2022,268
Andrews,US-SC,AU-NSW,64 Briar Crest Drive,26,5/19/2022,3433
Waukesha,US-WI,PH-SUR,7 Bartillon Parkway,911,11/27/2022,16
Lawrenceville,US-GA,IN-KL,710 Chive Junction,1061,3/23/2023,342
,AF-NAN,MY-11,618 Grasskamp Lane,1814,4/4/2023,18
,JP-47,CN-42,28 Loftsgordon Terrace,143,9/13/2022,
Adana,TR-01,US-AK,4 Merry Plaza,238,2/17/2023,242
Kadapa,IN-AP,TH-76,469 Reindahl Terrace,430,9/10/2022,62
Corozal,BZ-CZL,AU-TAS,4 Mcguire Point,40,1/12/2023,562
Uvalde,US-TX,US-AR,92 Daystar Place,942,3/3/2023,716
Columbus,US-GA,LK-2,0793 Mendota Point,397,2/24/2023,3580
Sterling/Rockfalls,US-IL,IN-MM,39 Oakridge Circle,648,4/30/2022,2136
Funter Bay,US-AK,US-AR,7 Eagle Crest Center,0,12/9/2022,716
Ogallala,US-NE,CN-65,40208 Melby Avenue,3279,11/2/2022,1253
Roper Bar,AU-NT,US-WI,9179 Mallory Park,92,10/4/2022,1277
Sumy,UA-59,US-LA,93 Dahle Lane,594,1/7/2023,24
Fort McMurray,CA-AB,US-PA,2284 Red Cloud Pass,1211,3/19/2023,1069
Fritzlar,DE-HE,EC-L,17345 Hanover Pass,1345,7/12/2022,4056
Gobernador Gregores,AR-Z,CV-B,9392 Forest Road,356,9/2/2022,69
Teixeira De Freitas,BR-BA,US-DE,7 Sherman Junction,344,5/9/2022,80
,DZ-02,DK-82,87385 Caliangt Street,463,1/2/2023,17
Houston,US-TX,US-TX,9 Prairieview Avenue,152,3/10/2023,1387
Cartago,CO-VAC,BR-SC,18 School Place,2979,6/25/2022,120
Niamey,NE-8,US-TX,954 Butternut Avenue,732,10/9/2022,2803
Toli Toli-Celebes Island,ID-ST,BR-SC,909 Clarendon Street,40,5/14/2022,4462
Bokoro,TD-CB,SK-KI,3649 Rowland Circle,984,12/4/2022,755
Drummond Island,US-MI,GT-PE,4239 Huxley Plaza,668,8/27/2022,573
Jasper,US-TX,AU-NT,4025 Graedel Point,213,8/6/2022,83
Esquel,AR-U,US-WI,7629 Lighthouse Bay Street,2621,4/13/2023,903
Harper,LR-MY,CO-ANT,5 Kipling Circle,20,3/13/2023,2060
Toms River,US-NJ,VU-TAE,03 Hooker Center,82,7/30/2022,630
Los Angeles,CL-BI,ZM-03,48 Sheridan Trail,374,8/17/2022,3360
Chistochina,US-AK,US-CA,73336 Schurz Court,1850,5/7/2022,5
Kings Canyon Resort,AU-NT,US-UT,891 Hagan Point,2100,2/15/2023,6966
Lübeck,DE-SH,US-CA,3756 La Follette Trail,53,5/25/2022,125
Chicago/Prospect Heights/Wheeling,US-IL,BR-MG,487 Montana Point,647,10/6/2022,561
Yiwu,CN-33,BN-BM,9 Helena Street,262,12/20/2022,73
Richmond,AU-NSW,US-UT,5 Aberg Junction,67,4/25/2022,4227
Awassa,ET-OR,UA-12,9 Dennis Circle,5450,4/5/2023,481
Mueda,MZ-P,US-PA,3936 Lotheville Center,2789,7/25/2022,1915
Trabzon,TR-61,US-IN,74834 Sutteridge Point,104,7/14/2022,418
Grimsby,GB-ENG,US-CA,7 Clemons Center,,7/27/2022,505
Marion,US-OH,RU-SA,50922 Monica Pass,993,4/1/2023,950
Magas,RU-IN,NZ-CAN,777 Johnson Plaza,1165,8/20/2022,1575
Ukiah,US-CA,PA-KY,6 Ronald Regan Parkway,614,6/21/2022,55
Waukesha,US-WI,HR-13,590 Moland Alley,911,5/12/2022,289
Nicaro,CU-11,US-MI,15675 Spohn Street,26,10/25/2022,690
San Diego,US-CA,TR-64,4 Vera Trail,26,10/24/2022,2897
Portland,US-OR,US-WY,3232 Corscot Drive,39,5/22/2022,6159
Windarling Mine,AU-WA,FR-O,04468 Grayhawk Road,1502,6/13/2022,452
Palu-Celebes Island,ID-ST,US-AK,3543 Dakota Park,284,5/21/2022,0
,PF-U-A,ZM-01,5511 Jenna Place,9,2/4/2023,3670
Padova,IT-34,US-NE,38252 Ronald Regan Plaza,44,8/24/2022,2583
Berlin,DE-BR,CO-HUI,1256 Manley Avenue,157,9/13/2022,6017
Erie,US-PA,BR-AM,11615 Warrior Place,732,8/2/2022,87
Barra Do Garças,BR-MT,MX-CHP,829 Larry Alley,1147,1/27/2023,5161
Landivisiau,FR-E,US-IA,4738 Bobwhite Street,348,1/25/2023,953
,VE-F,MX-AGU,014 Birchwood Plaza,1574,5/2/2022,6112
Big Spring,US-TX,PL-MZ,6203 Farwell Trail,2573,5/22/2022,341
,AU-QLD,SD-24,7621 Mcguire Way,1335,12/31/2022,1582
Madrid,ES-M,FM-TRK,373 Mesta Hill,1998,11/26/2022,11
Mesa,US-AZ,BR-SP,0890 Spenser Point,1394,2/12/2023,2122
Karimunjawa,ID-JT,ES-AR,175 Pawling Way,35,5/11/2022,863
Hayward,US-WI,BR-PA,954 Pearson Trail,1216,11/10/2022,60
,SA-04,GL-U-A,684 Northwestern Plaza,84,7/14/2022,
Paamiut,GL-U-A,MK-003,9 Kenwood Trail,120,10/23/2022,2313
,AU-NSW,US-AK,433 South Street,504,5/18/2022,305
Riverton,US-WY,HN-FM,771 Granby Point,5525,5/14/2022,3294
Midland,US-TX,US-OK,7415 Oak Drive,2871,11/30/2022,1202
,AU-TAS,BR-BA,7 Vermont Way,20,12/7/2022,1454
Qasigiannguit,GL-U-A,BR-SP,17 American Crossing,70,4/26/2022,3012
Grand-Santi,GF-SL,RU-TUL,1 Arizona Lane,207,2/11/2023,499
Weatherford,US-TX,IE-WD,9 Carpenter Plaza,990,7/23/2022,119
Adana,TR-01,BF-GNA,7 Meadow Vale Drive,238,4/29/2022,984
Kibuli,PG-GPK,CN-23,90 Packers Pass,54,7/22/2022,883
,PG-MPL,US-CA,1 Forster Court,5127,6/29/2022,28
Moab,US-UT,AU-NSW,7798 Warbler Avenue,4557,9/24/2022,921
Ikerassaarsuk,GL-U-A,PG-HE,340 Rigney Point,165,5/29/2022,5638
Batom-Papua Island,ID-PA,PK-BA,616 High Crossing Avenue,576,4/25/2022,3289
Tomanggong,MY-12,NA-KE,87371 Stone Corner Court,26,1/13/2023,3314
Delingha,CN-63,BA-BIH,4361 Sunfield Drive,9843,1/9/2023,156
San Angelo,US-TX,TH-63,8934 Continental Parkway,1919,4/22/2023,690
Bamarni,IQ-DA,AU-TAS,57979 Longview Circle,3455,8/29/2022,13
El Debba,SD-01,MA-FES,956 Northland Park,843,4/14/2023,1900
Kuujjuarapik,CA-QC,US-AK,6 Talisman Alley,34,9/12/2022,399
Long Sukang,MY-13,NO-18,2396 Forest Run Alley,1200,9/15/2022,95
Onundarfjörður,IS-4,IN-AN,1338 Blue Bill Park Terrace,70,6/21/2022,14
Kotabangun-Borneo Island,ID-KI,JP-01,82 Longview Street,13,6/15/2022,721
Chitose / Tomakomai,JP-01,ST-P,9716 Eliot Junction,82,4/20/2023,591
Redding,US-CA,MG-M,05 Blackbird Terrace,505,8/9/2022,40
Mount Clemens,US-MI,US-TN,43893 Fallview Pass,580,12/6/2022,1014
Asunción,PY-11,US-KY,39346 Hayes Court,292,11/18/2022,927
Malatya,TR-44,CG-14,200 Kensington Road,2828,6/4/2022,2634
Villa Gesell,AR-B,PG-NPP,5 Corry Pass,32,10/2/2022,1044
Wagga Wagga,AU-NSW,PH-BTN,1229 Pawling Avenue,724,7/10/2022,291
Kärdla,EE-39,CO-SAN,249 Kedzie Hill,18,12/3/2022,740
La Lima,HN-CR,SE-BD,5 Lunder Plaza,96,12/23/2022,65
Argyle Downs,AU-WA,ID-MA,726 Meadow Valley Drive,407,4/24/2022,10
Belfort,FR-I,FR-N,5 Eggendart Road,1208,10/31/2022,788
Karasabai,GY-UT,DE-HE,144 Schlimgen Crossing,731,7/11/2022,384
Trollhättan,SE-Q,PK-TA,200 Knutson Junction,137,6/23/2022,4550
Engati,PG-MPL,ID-BB,1341 Moose Drive,3715,4/5/2023,164
Vidalia,US-GA,AU-WA,3 Mallard Drive,275,10/27/2022,2300
,IN-MM,AU-VIC,7 Northfield Terrace,305,3/25/2023,234
Ramagundam,IN-TG,US-VA,6409 Shelley Avenue,670,5/21/2022,47
Bordeaux/Mérignac,FR-B,TC-MC,46409 Little Fleur Center,162,2/8/2023,9
Nancy/Essey,FR-M,ZA-NP,56 Sundown Trail,751,8/21/2022,1245
Ken Jones,JM-04,MN-055,5 Stuart Avenue,20,8/2/2022,5522
Nazca,PE-ICA,LA-LP,4 Lakewood Court,1860,3/31/2023,955
Houston,US-TX,CA-QC,353 Evergreen Parkway,82,9/3/2022,700
Hat Yai,TH-90,KE-400,70953 Esch Way,90,8/29/2022,2000
Pasir Pengarayan-Sumatra Island,ID-RI,MY-13,33726 Monica Lane,151,8/17/2022,14
Kepi-Papua Island,ID-PA,AU-NSW,9 Crest Line Way,67,8/24/2022,2117
Encarnación,PY-7,US-CA,323 Darwin Street,659,3/18/2023,135
Beni,CD-NK,US-NY,02 Hooker Point,3517,8/5/2022,693
Kaélé,CM-EN,BR-GO,3187 Bunting Park,1276,7/20/2022,3648
Gwangju,KR-29,US-KS,61 Veith Park,39,5/30/2022,1208
Katmai National Park,US-AK,PE-PUN,70 Logan Park,36,4/25/2022,12552
,TH-54,RU-LIP,61173 Service Trail,538,1/30/2023,584
Santa Cruz,BZ-CZL,IS-4,5 Blue Bill Park Alley,18,2/3/2023,90
Fort Richardson(Anchorage),US-AK,US-NE,3 Golf Course Trail,378,6/27/2022,2589
Angoche,MZ-N,CA-SK,51 Blackbird Plaza,121,10/2/2022,2680
Bucaramanga,CO-SAN,PE-LAL,62689 Spaight Circle,3897,8/18/2022,106
Catalão,BR-GO,US-IN,5 Debs Place,2612,4/21/2023,819
Ulundi,ZA-NL,IE-D,1 Londonderry Pass,1720,7/15/2022,242
Ugashik,US-AK,AU-NSW,8546 Amoth Drive,25,11/7/2022,
Palmas,BR-TO,US-TN,5616 Kipling Terrace,774,5/30/2022,681
,SE-BD,JP-23,948 Daystar Street,542,11/25/2022,15
Clayton,US-NM,US-FL,278 Main Road,4965,2/2/2023,142
Marsa Alam,EG-BA,IN-TN,25481 Longview Alley,251,11/30/2022,184
Flinders Island,AU-TAS,MM-03,119 Cascade Junction,10,5/22/2022,151
Cocoa Beach,US-FL,AU-NT,07 Linden Way,8,12/13/2022,304
Minya,EG-MN,PE-MDD,11627 Russell Terrace,121,10/21/2022,659
Tampere / Pirkkala,FI-LS,NG-LA,8768 Hoepker Court,390,12/19/2022,135
Huvadhu Atoll,MV-28,CA-NT,92767 Independence Street,2,4/25/2022,703
Arbil,IQ-AR,ID-NB,110 Porter Avenue,1341,12/19/2022,52
Rajkot,IN-GJ,US-SD,32 Monument Circle,441,8/15/2022,2571
Nankoku,JP-39,US-MI,113 Pennsylvania Park,42,8/25/2022,1230
Puerto San José,GT-ES,QA-RA,902 Hansons Park,29,10/16/2022,130
Fontvieille,MC-U-A,MM-17,3385 Sachtjen Hill,20,3/16/2023,2798
Vancouver,CA-BC,AU-WA,4 Esker Junction,6,4/1/2023,
Olongapo City,PH-ZMB,US-LA,5 Golf View Plaza,64,7/27/2022,42
Yari,CO-CAQ,PG-ESW,06 Elmside Pass,569,10/23/2022,70
Caquetania,CO-MET,DZ-01,8519 Golf Course Circle,900,1/24/2023,1303
Álamos,MX-SON,BZ-CY,5 Novick Court,1312,1/29/2023,343
Jaqué,PA-5,LK-1,2027 Darwin Park,29,10/24/2022,17
Bahir Dar,ET-AM,PG-JI,26 Oak Valley Junction,5978,9/23/2022,4400
Launceston,AU-TAS,CA-BC,9 Shoshone Hill,562,1/5/2023,0
Corozal,CO-SUC,NE-1,852 Clarendon Lane,528,6/27/2022,1443
Garachiné,PA-5,CO-MAG,67311 Namekagon Junction,42,9/6/2022,69
Ajmer,IN-RJ,UZ-QR,9 Comanche Junction,,8/15/2022,246
Mosquera,CO-NAR,AU-QLD,8383 Anderson Pass,50,2/11/2023,77
Branson,US-MO,IT-82,2 Warner Avenue,1302,6/26/2022,25
Kandep,PG-EPW,MM-04,11331 Melby Terrace,7710,11/3/2022,312
Ad Damazin,SD-24,CV-S,4176 Jackson Hill,1582,9/19/2022,64
Batouri,CM-ES,ID-PA,248 Pine View Center,2152,12/14/2022,6527
Namibe,AO-NAM,RU-CHU,10245 Susan Way,210,10/15/2022,194
Marudi,MY-13,ZA-NL,11 Holmberg Center,103,4/10/2023,249
,PF-U-A,MH-KWA,54802 Manitowish Park,12,7/23/2022,9
,AU-NSW,CA-ON,50 Gerald Alley,650,5/13/2022,529
Kaohsiung City,TW-KHH,CI-03,59292 Harper Center,31,6/24/2022,1102
Basalt,AU-QLD,BF-COM,34840 Truax Avenue,1099,4/16/2023,984
Mysore,IN-KA,AU-QLD,52 Bultman Place,2349,2/2/2023,82
Quanzhou,CN-35,PG-MPL,5 Chinook Plaza,,12/22/2022,40
,DE-NW,CK-U-A,4246 Fulton Lane,296,10/12/2022,19
George,ZA-WC,US-AK,64800 Vera Point,648,4/3/2023,0
Chifeng,CN-15,US-VA,0 Mallard Hill,,3/21/2023,26
Sue Islet,AU-QLD,US-AK,00701 Browning Hill,3,5/3/2022,547
Farmington,US-MO,US-AZ,70000 Jenifer Alley,946,6/8/2022,4780
Djelfa,DZ-17,US-OK,41 Stone Corner Plaza,3753,1/15/2023,1420
Higuerote,VE-M,US-IN,32 Scoville Center,12,12/28/2022,895
Pweto,CD-KA,AU-VIC,47249 Hayes Street,3425,12/20/2022,807
Road Town,VG-U-A,US-AR,8 Moulton Park,15,6/9/2022,719
Baker City,US-OR,AF-BDS,5 Waywood Drive,3373,9/11/2022,6700
Ipiales,CO-NAR,ID-AC,37 Lunder Terrace,9765,12/24/2022,393
Ablow,VU-TOB,GB-SCT,2 Annamark Court,63,12/30/2022,20
Mangaia Island,CK-U-A,ZA-WC,07281 Forster Place,45,2/21/2023,465
Penrhyn Island,CK-U-A,BY-MI,93471 Garrison Crossing,8,2/4/2023,670
Wuhai,CN-15,US-CA,1209 Judy Avenue,3650,3/1/2023,135
Bila,SB-ML,US-AK,926 Loeprich Point,23,3/23/2023,30
Doylestown,US-PA,MY-08,86407 Straubel Crossing,394,9/3/2022,40
Redhill,GB-ENG,JP-31,0 Hollow Ridge Terrace,222,11/14/2022,65
Wuvulu Island,PG-MRL,US-TX,59446 Pond Junction,16,10/5/2022,1791
Doha,QA-DA,US-GA,480 Kinsman Parkway,13,1/10/2023,187
,VE-C,CM-OU,80 Lighthouse Bay Hill,295,5/31/2022,4593
Nipa,PG-SHM,CK-U-A,9174 Forest Run Alley,5765,11/22/2022,14
,AU-WA,US-OR,9176 Northland Place,29,12/21/2022,1126
Baie-Johan-Beetz,CA-QC,CN-36,3931 Golf Road,,2/23/2023,281
Mangole Island,ID-MU,AR-E,07154 North Road,889,1/10/2023,242
Mohe,CN-23,LK-1,837 Montana Plaza,1836,5/3/2022,10
Oeiras,BR-PI,AU-QLD,50 Schiller Crossing,820,12/31/2022,930
Glentanner Station,NZ-CAN,PF-U-A,756 Melvin Street,1824,4/5/2023,7
,AU-WA,PY-1,0 Dorton Park,7,11/20/2022,286
Latrobe,AU-TAS,GB-SCT,6590 Crescent Oaks Place,12,5/27/2022,
Kansas City,US-MO,CA-BC,17 Hudson Hill,1026,5/19/2022,0
Corolla,US-NC,AO-BIE,1163 Kennedy Point,16,5/19/2022,5618
Legazpi City,PH-ALB,ZA-NP,81457 Lien Alley,66,8/22/2022,3357
Kaélé,CM-EN,PA-1,85 Corry Park,1276,4/4/2023,10
Ogoki Post,CA-ON,NZ-MWT,81347 Goodland Drive,594,10/7/2022,27
Dang,NP-RA,BR-PA,4 Kinsman Trail,2100,12/17/2022,60
,DZ-02,ID-NT,2 Bultman Crossing,463,10/23/2022,335
Jubail,SA-04,MM-01,5741 Surrey Terrace,26,6/28/2022,6000
Dahl Creek,US-AK,PG-CPM,5 Starling Alley,260,5/19/2022,5800
Fort Worth,US-TX,CH-NW,7192 Dunning Circle,722,6/25/2022,1475
,MA-KEN,CN-23,83 Pepper Wood Parkway,16,10/2/2022,
Virac,PH-CAT,US-AK,14226 Derek Circle,121,4/25/2022,99
St-Augustin,CA-QC,AR-G,2327 Del Sol Park,20,7/7/2022,656
La Plata,AR-B,PE-UCA,40561 Main Hill,72,11/25/2022,513
Parintins,BR-AM,JP-47,0079 Tomscot Point,87,12/31/2022,54
Dinangat,PG-MPL,TH-45,8790 Mifflin Court,5309,11/6/2022,451
Pratas Island,TW-KHH,US-PA,87612 Glacier Hill Lane,10,9/15/2022,1503
Tissamaharama,LK-3,AT-2,94 Rusk Crossing,75,6/9/2022,1472
Buckeye,US-AZ,BR-PR,91 Forest Dale Trail,1033,10/3/2022,1867
Dandong,CN-21,BR-BA,57 Dottie Drive,30,10/27/2022,21
Medina,SA-03,US-VA,31658 Green Park,2151,1/27/2023,1201
Ordu,TR-52,BR-MG,16691 Lillian Circle,11,8/30/2022,3025
Tingo Maria,PE-HUC,MZ-I,79724 Bluestem Road,2010,8/23/2022,30
